Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
intrastate_orders,Turn-Around-Time (TAT) measurement.,"prod_bkp.district_wise_monthly_aggregates.""intrastate_orders""",prod_bkp.district_wise_monthly_aggregates,
intradistrict_orders,Data representing the intradistrict orders.,"prod_bkp.district_wise_monthly_aggregates.""intradistrict_orders""",prod_bkp.district_wise_monthly_aggregates,
"▼ fact_order_detail_b2b   (base table, 11 cols)",,,prod_bkp.fact_order_detail_b2b,"CREATE INDEX fact_order_detail_b2b_network_order_id_idx ON prod_bkp.fact_order_detail_b2b USING btree (network_order_id)

CREATE INDEX fact_order_detail_b2b_domain_idx ON prod_bkp.fact_order_detail_b2b USING btree (domain)

CREATE INDEX fact_order_detail_b2b_seller_np_idx ON prod_bkp.fact_order_detail_b2b USING btree (seller_np)

CREATE INDEX fact_order_detail_b2b_provider_key_idx ON prod_bkp.fact_order_detail_b2b USING btree (provider_key)"
network_order_id,Data representing the network order id.,"prod_bkp.fact_order_detail_b2b.""network_order_id""",prod_bkp.fact_order_detail_b2b,
seller_np,Data representing the seller np.,"prod_bkp.fact_order_detail_b2b.""seller_np""",prod_bkp.fact_order_detail_b2b,
total_items,Data representing the total items.,"prod_bkp.fact_order_detail_b2b.""total_items""",prod_bkp.fact_order_detail_b2b,
domain,"The ONDC network domain (e.g., retail, logistics).","prod_bkp.fact_order_detail_b2b.""domain""",prod_bkp.fact_order_detail_b2b,
provider_key,Unique identifier for provider key.,"prod_bkp.fact_order_detail_b2b.""provider_key""",prod_bkp.fact_order_detail_b2b,
order_status,Turn-Around-Time (TAT) measurement.,"prod_bkp.fact_order_detail_b2b.""order_status""",prod_bkp.fact_order_detail_b2b,
delivery_pincode,Indian postal code (pincode).,"prod_bkp.fact_order_detail_b2b.""delivery_pincode""",prod_bkp.fact_order_detail_b2b,
order_date,Timestamp or date indicating when order date occurred.,"prod_bkp.fact_order_detail_b2b.""order_date""",prod_bkp.fact_order_detail_b2b,
delivery_district,Data representing the delivery district.,"prod_bkp.fact_order_detail_b2b.""delivery_district""",prod_bkp.fact_order_detail_b2b,
delivery_state,Turn-Around-Time (TAT) measurement.,"prod_bkp.fact_order_detail_b2b.""delivery_state""",prod_bkp.fact_order_detail_b2b,
delivery_state_code,Turn-Around-Time (TAT) measurement.,"prod_bkp.fact_order_detail_b2b.""delivery_state_code""",prod_bkp.fact_order_detail_b2b,
"▼ landing_page_echart   (base table, 3 cols)",,,prod_bkp.landing_page_echart,
month,Data representing the month.,"prod_bkp.landing_page_echart.""month""",prod_bkp.landing_page_echart,
domain,"The ONDC network domain (e.g., retail, logistics).","prod_bkp.landing_page_echart.""domain""",prod_bkp.landing_page_echart,
order_count,Data representing the order count.,"prod_bkp.landing_page_echart.""order_count""",prod_bkp.landing_page_echart,
"▼ logistics_district_level_orders   (base table, 14 cols)",,,prod_bkp.logistics_district_level_orders,"CREATE INDEX logistics_district_level_orders_delivery_state_idx ON prod_bkp.logistics_district_level_orders USING btree (delivery_state)

CREATE INDEX logistics_district_level_orders_seller_state_idx ON prod_bkp.logistics_district_level_orders USING btree (seller_state)

CREATE INDEX logistics_district_level_orders_seller_district_idx ON prod_bkp.logistics_district_level_orders USING btree (seller_district)

CREATE INDEX logistics_district_level_orders_order_date_idx ON prod_bkp.logistics_district_level_orders USING btree (order_date)

CREATE INDEX logistics_district_level_orders_delivery_district_idx ON prod_bkp.logistics_district_level_orders USING btree (delivery_district)"
order_date,Timestamp or date indicating when order date occurred.,"prod_bkp.logistics_district_level_orders.""order_date""",prod_bkp.logistics_district_level_orders,
delivery_district,Data representing the delivery district.,"prod_bkp.logistics_district_level_orders.""delivery_district""",prod_bkp.logistics_district_level_orders,
delivery_state,Turn-Around-Time (TAT) measurement.,"prod_bkp.logistics_district_level_orders.""delivery_state""",prod_bkp.logistics_district_level_orders,
delivery_state_code,Turn-Around-Time (TAT) measurement.,"prod_bkp.logistics_district_level_orders.""delivery_state_code""",prod_bkp.logistics_district_level_orders,
seller_state,Turn-Around-Time (TAT) measurement.,"prod_bkp.logistics_district_level_orders.""seller_state""",prod_bkp.logistics_district_level_orders,
seller_district,Data representing the seller district.,"prod_bkp.logistics_district_level_orders.""seller_district""",prod_bkp.logistics_district_level_orders,
